proNo,proID,Lat,Lng,proType,Price_k,bedroom,bathroom,parking,age_md,income_md,local_Per,English_Per,rent_md,sch_rank,to_station,Time_train,Total_Time,supermarket,hospital,shopping_center,clinic,Formated_Address,Postal_Code,Locality,pro_type_no,pro_type_real,price_real,link,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
26,105997178,-37.800261,144.899097,Apartment,245,1,1,0,32,438,0.46,0.48,300,423,6,10,16,138,1353,173,90,"1/98 Nicholson St, Footscray VIC 3011, Australia",3011,Footscray,0,Apartment,245000,http://www.realestate.com.au/property-apartment-vic-footscray-105997178,1,1,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,5
27,106077031,-37.752535,145.191947,House,1350,5,3,3,41,691,0.69,0.77,800,287,45,31,90,2216,4544,129,2524,"1 Shelagh Ct, Warrandyte VIC 3113, Australia",3113,Warrandyte,1,House,1350000,http://www.realestate.com.au/property-house-vic-warrandyte-106077031,1,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,1,1,1,8
28,106089321,-37.77794,144.931469,Apartment,440,2,2,1,40,821,0.75,0.79,325,600,16,10,26,1005,324,1049,27,"38/70 Mount Alexander Rd, Travancore VIC 3032, Australia",3032,Travancore,0,Apartment,440000,http://www.realestate.com.au/property-apartment-vic-ascot+vale-106089321,1,1,,,,,1,1,,,,1,,1,,,,,1,1,,,,,,,,1,,,,,,,9
29,106120212,-37.98161,145.089276,House,760,5,2,3,38,567,0.74,0.78,132,311,28,45,73,1104,1005,1079,101,"18 Gainsborough Rd, Mentone VIC 3194, Australia",3194,Mentone,1,House,760000,http://www.realestate.com.au/property-house-vic-mentone-106120212,1,1,1,1,,,,,1,,,1,1,1,1,,1,,,,,,1,1,,,,,1,,,,,,13
30,106142518,-37.775941,144.808624,Unit,300,2,1,1,44,442,0.51,0.55,250,423,20,23,43,2039,1806,2866,377,"639 Ballarat Rd, Albion VIC 3020, Australia",3020,Albion,2,Unit,300000,http://www.realestate.com.au/property-unit-vic-sunshine-106142518,1,1,1,,,,,,1,,1,1,1,,,,1,1,,,,,1,,,,,,,,,,,,1
31,106159868,-37.819658,145.037336,Apartment,202,1,1,1,30,610,0.48,0.56,277,600,5,12,17,164,506,1629,1789,"3/17 Park St, Hawthorn VIC 3122, Australia",3122,Hawthorn,0,Apartment,202000,http://www.realestate.com.au/property-apartment-vic-hawthorn-106159868,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
32,106213625,-37.929016,145.112776,House,550,3,1,2,35,460,0.36,0.32,361,291,14,31,44,597,1271,1587,461,"6 Springfield Ave, Clayton South VIC 3169, Australia",3169,Clayton South,1,House,550000,http://www.realestate.com.au/property-house-vic-clayton+south-106213625,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4
33,106404148,-37.858421,144.819932,House,480,4,2,3,39,497,0.64,0.77,300,600,14,32,46,1453,1801,1793,1155,"126 Grieve Parade, Altona VIC 3018, Australia",3018,Altona,1,House,480000,http://www.realestate.com.au/property-house-vic-altona-106404148,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,7
34,106432873,-37.791608,144.816405,House,343,3,2,3,39,345,0.3,0.22,220,423,24,20,44,1170,3424,2289,961,"16A Mailey St, Sunshine West VIC 3020, Australia",3020,Sunshine West,1,House,342500,http://www.realestate.com.au/property-house-vic-sunshine+west-106432873,1,1,,1,,1,,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,8
35,106564490,-37.824917,144.962395,Apartment,480,2,1,1,26,700,0.22,0.33,520,24,15,7,22,783,1435,618,258,"87/183 City Rd, Southbank VIC 3006, Australia",3006,Southbank,0,Apartment,480000,http://www.realestate.com.au/property-apartment-vic-southbank-106564490,,,,,,1,1,,1,,,1,,,,,,1,,1,,,1,,,,,,,1,,,,,8
36,106583075,-37.723928,145.016483,Unit,450,2,1,1,37,532,0.66,0.52,309,387,19,40,59,1022,1811,1054,878,"3/5 Acheron Ave, Reservoir VIC 3073, Australia",3073,Reservoir,2,Unit,450000,http://www.realestate.com.au/property-unit-vic-reservoir-106583075,1,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,8
37,106640043,-37.8260655,144.9567241,Apartment,601,2,2,1,26,777,0.21,0.36,495,24,17,4,21,501,1790,1053,289,"63 Whiteman St, Southbank VIC 3006, Australia",3006,Southbank,0,Apartment,600600,http://www.realestate.com.au/property-apartment-vic-southbank-106640043,1,1,,,,,1,,1,,,1,,1,,,,1,,1,,,1,,,,,1,,,,,,,1
38,106640455,-37.850056,145.052714,House,865,4,2,2,33,1009,0.63,0.69,450,600,11,19,30,634,1464,761,618,"377 Burke Rd, Glen Iris VIC 3146, Australia",3146,Glen Iris,1,House,865000,http://www.realestate.com.au/property-house-vic-glen+iris-106640455,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,6
39,106646548,-37.791003,144.889989,Apartment,180,2,1,0,27,396,0.13,0.15,200,423,18,15,33,1288,252,1249,407,"315/51 Gordon St, Footscray VIC 3011, Australia",3011,Footscray,0,Apartment,180000,http://www.realestate.com.au/property-apartment-vic-footscray-106646548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,106660465,-37.961909,145.14177,Unit,277,2,1,0,35,408,0.32,0.23,254,344,33,36,69,2495,4482,1542,518,"24/780-788 Heatherton Rd, Springvale South VIC 3172, Australia",3172,Springvale South,2,Unit,277000,http://www.realestate.com.au/property-unit-vic-springvale+south-106660465,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,1,1,1,6
41,106668432,-37.918578,145.136802,Unit,420,2,1,1,23,259,0.19,0.29,276,291,32,31,63,1809,1147,819,328,"1/7 Bettina St, Clayton VIC 3168, Australia",3168,Clayton,2,Unit,420000,http://www.realestate.com.au/property-unit-vic-clayton-106668432,1,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,4
42,106685036,-37.8851823,144.7569959,House,435,4,2,2,35,618,0.66,0.62,313,600,28,29,57,1199,5000,892,197,"1 John Wedge Pl, Seabrook VIC 3028, Australia",3028,Seabrook,1,House,435000,http://www.realestate.com.au/property-house-vic-seabrook-106685036,1,1,,,,1,,,1,,,,,1,,1,,,,,,,,,,1,,1,,,,,,1,9
43,106714348,-37.8260655,144.9567241,Apartment,450,1,1,1,26,777,0.21,0.36,495,24,17,4,21,501,1790,1053,289,"63 Whiteman St, Southbank VIC 3006, Australia",3006,Southbank,0,Apartment,450000,http://www.realestate.com.au/property-apartment-vic-southbank-106714348,1,1,,,,,1,,1,,,1,1,,,,,1,,1,,,1,,,,,,,,,,,,9
44,106715063,-37.712256,145.002717,Unit,400,2,1,1,33,520,0.5,0.45,261,436,13,40,53,479,759,2637,375,"2/56 Leamington St, Reservoir VIC 3073, Australia",3073,Reservoir,2,Unit,400000,http://www.realestate.com.au/property-unit-vic-reservoir-106715063,1,1,,,,,1,,,,1,,,,,,,,1,,,1,,,,,,,1,,,1,1,1,1
45,106730703,-37.789221,144.886803,House,550,3,1,1,31,371,0.38,0.38,276,423,22,15,36,1609,289,1448,277,"11 Maddock St, Footscray VIC 3011, Australia",3011,Footscray,1,House,550000,http://www.realestate.com.au/property-house-vic-footscray-106730703,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
46,106744902,-37.922575,145.127554,House,405,2,1,2,25,383,0.17,0.2,340,291,14,31,45,884,432,107,432,"1 Shady Mews, Clayton VIC 3168, Australia",3168,Clayton,1,Townhouse,405000,http://www.realestate.com.au/property-townhouse-vic-clayton-106744902,1,1,,,,,,,1,,1,,,,,,,,,1,,,1,,,,,,,,,1,1,1,9
47,106758513,-37.886181,145.013803,Others,980,2,1,2,38,622,0.56,0.62,361,225,14,20,34,640,1184,2841,23,"580 Glen Huntly Rd, Elsternwick VIC 3185, Australia",3185,Elsternwick,3,Other,980000,http://www.realestate.com.au/property-other-vic-elsternwick-106758513,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,106825949,-37.705125,145.031748,House,410,2,2,1,38,514,0.53,0.46,320,387,28,41,68,1674,2079,2167,866,"26/24 Don St, Reservoir VIC 3073, Australia",3073,Reservoir,1,Townhouse,410000,http://www.realestate.com.au/property-townhouse-vic-reservoir-106825949,1,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,7
49,106830945,-37.8153853,144.9756268,Apartment,1510,3,3,2,34,1341,0.58,0.73,370,457,10,13,23,682,667,826,271,"402/279 Wellington Parade, East Melbourne VIC 3002, Australia",3002,East Melbourne,0,Apartment,1800000,http://www.realestate.com.au/property-apartment-vic-east+melbourne-106830945,,,1,,,,1,,1,,,1,1,1,,,1,1,1,,,,1,,,,,1,,,,,,,11
50,106846801,-37.784182,144.862846,House,395,3,2,2,33,380,0.41,0.35,140,116,24,17,40,230,2218,1060,342,"2/20 Middleton St, Braybrook VIC 3019, Australia",3019,Braybrook,1,Townhouse,395000,http://www.realestate.com.au/property-townhouse-vic-braybrook-106846801,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,5
51,106864534,-37.801636,144.90539,House,490,3,1,0,32,603,0.42,0.43,279,423,6,10,16,680,1887,556,411,"22 Whitehall St, Footscray VIC 3011, Australia",3011,Footscray,1,House,490000,http://www.realestate.com.au/property-house-vic-footscray-106864534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,106884825,-37.8240461,144.9620245,Apartment,418,1,1,1,27,797,0.27,0.41,513,24,14,7,21,747,1360,559,243,"180 City Rd, Southbank VIC 3006, Australia",3006,Southbank,0,Apartment,418000,http://www.realestate.com.au/property-apartment-vic-southbank-106884825,1,1,,,,,1,1,1,,,1,1,,,,,1,,1,,,1,,,,,,,,,,,,1
53,106925302,-37.710172,145.010026,House,462,3,1,0,32,493,0.48,0.49,275,436,3,41,44,556,1384,2268,540,"13 White St, Reservoir VIC 3073, Australia",3073,Reservoir,1,House,462000,http://www.realestate.com.au/property-house-vic-reservoir-106925302,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2
54,106926568,-37.755954,145.116726,House,625,3,2,2,44,453,0.55,0.53,420,366,45,48,90,1944,4714,3229,375,"6/12 Omar St, Manningham VIC 3107, Australia",3107,Manningham,1,Townhouse,625000,http://www.realestate.com.au/property-townhouse-vic-templestowe+lower-106926568,1,1,,1,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,1,1,,9
55,106926885,-37.788237,144.771868,House,469,3,2,2,30,737,0.45,0.32,310,423,45,26,90,490,4941,542,341,"35 Nutwood Cres, Derrimut VIC 3030, Australia",3030,Derrimut,1,House,469000,http://www.realestate.com.au/property-house-vic-derrimut-106926885,1,1,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,7
56,106932576,-37.683726,144.731895,House,490,4,2,2,30,719,0.73,0.62,250,600,45,34,90,4250,5000,5000,516,"26 Pilgrim Dr, Hillside VIC 3037, Australia",3037,Hillside,1,House,490000,http://www.realestate.com.au/property-house-vic-hillside-106932576,1,1,,1,,1,,,,,,1,,1,,1,,,,,,,,,,1,,1,,,,,,,9
57,106945297,-37.8240461,144.9620245,Apartment,575,2,1,1,27,797,0.27,0.41,513,24,14,7,21,747,1360,559,243,"180 City Rd, Southbank VIC 3006, Australia",3006,Southbank,0,Apartment,575000,http://www.realestate.com.au/property-apartment-vic-southbank-106945297,1,1,,,,,1,,1,,1,1,1,,,,,1,,1,,,1,,,,,,,,,,,,1
58,106954580,-37.983312,145.049022,House,1510,3,2,2,44,729,0.76,0.87,0,411,25,43,68,1197,1320,1270,894,"27 Mariemont Ave, Beaumaris VIC 3193, Australia",3193,Beaumaris,1,House,1541000,http://www.realestate.com.au/property-house-vic-beaumaris-106954580,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
59,106956568,-37.921997,145.12752,Unit,328,2,1,1,25,383,0.17,0.2,340,291,13,31,44,913,390,89,398,"17/15 Browns Rd, Clayton VIC 3168, Australia",3168,Clayton,2,Unit,328000,http://www.realestate.com.au/property-unit-vic-clayton-106956568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3
60,106988327,-37.819528,144.948111,Apartment,497,2,1,1,29,1012,0.22,0.38,462,24,6,4,10,422,1939,529,82,"8 Waterview Walk, Docklands VIC 3008, Australia",3008,Docklands,0,Apartment,497000,http://www.realestate.com.au/property-apartment-vic-docklands-106988327,,1,,,,,1,,,,,,1,,,,,,1,1,,1,,,,,,1,,,,,,,7
61,107013130,-37.906081,145.085337,House,925,3,2,2,35,517,0.68,0.69,370,394,11,26,36,730,3339,740,67,"167 Warrigal Rd, Hughesdale VIC 3166, Australia",3166,Hughesdale,1,House,925000,http://www.realestate.com.au/property-house-vic-hughesdale-107013130,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,1,1,6
62,107025586,-37.692625,145.060099,Unit,450,3,1,1,41,537,0.48,0.45,300,360,45,42,90,329,225,1434,816,"10/117 Plenty Rd, Bundoora VIC 3083, Australia",3083,Bundoora,2,Unit,450000,http://www.realestate.com.au/property-unit-vic-bundoora-107025586,1,1,,1,,1,,,1,,1,,1,,1,1,,,,,,,,1,,,,,,,,1,1,1,13
63,107075785,-37.988813,145.140465,House,460,3,2,2,58,481,0.73,0.86,190,316,45,36,90,874,5000,2636,74,"29/32-50 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",3172,Dingley Village,1,Townhouse,460000,http://www.realestate.com.au/property-townhouse-vic-dingley+village-107075785,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,8
64,107091396,-37.972952,145.122097,Unit,415,2,1,1,41,727,0.76,0.77,375,316,45,33,90,1516,4029,2518,100,"7/65-67 Tootal Rd, Dingley Village VIC 3172, Australia",3172,Dingley Village,2,Unit,415000,http://www.realestate.com.au/property-unit-vic-dingley+village-107091396,1,1,,1,,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,1,1,9
65,107110739,-37.798987,144.890627,House,510,2,1,0,33,635,0.38,0.46,267,423,9,15,24,656,794,830,222,"361 Barkly St, Footscray VIC 3011, Australia",3011,Footscray,1,Townhouse,510000,http://www.realestate.com.au/property-townhouse-vic-footscray-107110739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,107115533,-37.8240461,144.9620245,Apartment,415,1,1,1,27,797,0.27,0.41,513,24,14,7,21,747,1360,559,243,"180 City Rd, Southbank VIC 3006, Australia",3006,Southbank,0,Apartment,415000,http://www.realestate.com.au/property-apartment-vic-southbank-107115533,1,1,,1,,,1,1,,,,,1,,,,,1,,1,,,1,,,,,1,,,,,,,1
67,107140419,-37.8240461,144.9620245,Apartment,535,2,1,1,27,797,0.27,0.41,513,24,14,7,21,747,1360,559,243,"180 City Rd, Southbank VIC 3006, Australia",3006,Southbank,0,Apartment,535000,http://www.realestate.com.au/property-apartment-vic-southbank-107140419,,1,,,,,1,1,,,,1,1,,,,,1,,1,,,1,,,,,,,,,,,,8
68,107165754,-37.814252,144.9417429,Apartment,550,2,2,1,30,941,0.35,0.41,508,600,16,4,20,721,1719,335,142,"Palladio Tower, 905/15 Caravel Ln, Docklands VIC 3008, Australia",3008,Docklands,0,Apartment,550000,http://www.realestate.com.au/property-apartment-vic-docklands-107165754,,,,,,,,1,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,4
69,107170483,-37.735819,144.816252,House,290,2,1,1,31,383,0.39,0.24,250,234,29,28,56,1620,2653,3296,166,"37 Norman St, St Albans VIC 3021, Australia",3021,St Albans,1,House,290000,http://www.realestate.com.au/property-house-vic-st+albans-107170483,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,107207966,-37.756941,145.116369,House,760,3,2,2,44,453,0.55,0.53,420,366,45,48,90,1831,4684,3129,278,"4 Omar St, Manningham VIC 3107, Australia",3107,Manningham,1,House,760000,http://www.realestate.com.au/property-house-vic-templestowe+lower-107207966,1,1,,1,,1,1,,1,,1,,,1,,,,,,,,,,,,,,1,,,,1,1,1,12
71,107208306,-37.819528,144.948111,Apartment,375,1,1,0,29,1012,0.22,0.38,462,24,6,4,10,422,1939,529,82,"900/8 Waterview Walk, Docklands VIC 3008, Australia",3008,Docklands,0,Apartment,375000,http://www.realestate.com.au/property-apartment-vic-docklands-107208306,1,1,1,1,,1,1,,1,,,1,1,,,,,1,1,1,,,1,,,,1,,,,,,,,14
72,107208476,-38.063378,145.118431,House,705,3,1,1,45,748,0.68,0.77,320,227,2,57,58,1085,5000,2296,430,"9 Harding Ave, Bonbeach VIC 3196, Australia",3196,Bonbeach,1,House,705000,http://www.realestate.com.au/property-house-vic-bonbeach-107208476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,107212763,-37.963127,145.069421,House,755,3,1,4,40,514,0.72,0.78,310,316,23,40,62,1362,1188,1240,1998,"24 Lorna St, Cheltenham VIC 3192, Australia",3192,Cheltenham,1,House,755000,http://www.realestate.com.au/property-house-vic-cheltenham-107212763,1,1,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,6
74,107229926,-37.91503,145.174406,House,801,3,1,2,45,557,0.55,0.64,361,349,45,37,90,1223,4192,1378,1200,"15 Ninevah Cres, Wheelers Hill VIC 3150, Australia",3150,Wheelers Hill,1,House,801000,http://www.realestate.com.au/property-house-vic-wheelers+hill-107229926,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,1,4
75,107248963,-37.813778,144.952089,Unit,310,1,1,0,27,725,0.19,0.32,392,24,7,4,11,128,1300,221,98,"288 Spencer St, Melbourne VIC 3000, Australia",3000,Melbourne,2,Unit,310000,http://www.realestate.com.au/property-unit-vic-melbourne-107248963,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
